Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,Maturity Date,Coupon,YTC
ABSLF Corporate Bond Fund,ABSLF,INE261F08EO7,7.48% National Bank For Agriculture and Rural Development (15/09/2028) **,131265.83,4.59021777609958,0.06695,CRISIL AAA,128500.0,2028-09-15,,
ABSLF Corporate Bond Fund,ABSLF,INE556F08KG3,7.59% Small Industries Development Bank of India (10/02/2026) **,75005.87,2.6228705689252103,0.0629,CRISIL AAA,74550.0,2026-02-10,,
ABSLF Corporate Bond Fund,ABSLF,INE556F08KF5,7.54% Small Industries Development Bank of India (12/01/2026) **,60287.7,2.10819269407269,0.063549,ICRA AAA,6000.0,2026-01-12,,
ABSLF Corporate Bond Fund,ABSLF,INE936D07190,7.43% Jamnagar Utilities & Power Private Limited (24/10/2034) **,59377.72,2.07637165256443,0.07325,CRISIL AAA,59000.0,2034-10-24,,
ABSLF Corporate Bond Fund,ABSLF,INE020B08FV8,6.81% REC Limited (30/04/2036) **,58969.98,2.06211351578535,0.0704,ICRA AAA,60000.0,2036-04-30,,
ABSLF Corporate Bond Fund,ABSLF,INE377Y07458,7.80% Bajaj Housing Finance Limited (09/02/2034) **,56594.07,1.97903045498294,0.0732,CRISIL AAA,55000.0,2034-02-09,,
ABSLF Corporate Bond Fund,ABSLF,INE296A07SV1,7.82% Bajaj Finance Limited (31/01/2034) **,46075.91,1.6112222939967402,0.0742,CRISIL AAA,45000.0,2034-01-31,,
ABSLF Corporate Bond Fund,ABSLF,INE306N07LO1,8.50% Tata Capital Limited (06/11/2029) **,38176.96,1.3350049798074,0.07195,ICRA AAA,3650.0,2029-11-06,,
ABSLF Corporate Bond Fund,ABSLF,INE498L07137,7.2092% L&T Finance Limited (29/06/2027) **,35030.49,1.22497644705011,0.071471,ICRA AAA,35000.0,2027-06-29,,
ABSLF Corporate Bond Fund,ABSLF,INE115A07QI4,7.71% LIC Housing Finance Limited (09/05/2033) **,33657.46,1.17696323152785,0.0725,CRISIL AAA,3280.0,2033-05-09,,
ABSLF Corporate Bond Fund,ABSLF,INE134E08MX3,7.60% Power Finance Corporation Limited (13/04/2029) **,33366.0,1.16677111399947,0.0675,ICRA AAA,32500.0,2029-04-13,,
ABSLF Corporate Bond Fund,ABSLF,INE134E08NN2,7.40% Power Finance Corporation Limited (15/01/2035) **,33295.96,1.16432198182473,0.0703,ICRA AAA,32500.0,2035-01-15,,
ABSLF Corporate Bond Fund,ABSLF,INE115A07QS3,7.9265% LIC Housing Finance Limited (14/07/2027) **,33138.66,1.15882137870373,0.0681,CRISIL AAA,32500.0,2027-07-14,,
ABSLF Corporate Bond Fund,ABSLF,INE115A07QL8,7.64% LIC Housing Finance Limited (26/07/2033) **,32735.58,1.14472635421492,0.0725,CRISIL AAA,3200.0,2033-07-26,,
ABSLF Corporate Bond Fund,ABSLF,INE020B08FU0,6.87% REC Limited (31/05/2030),32577.25,1.13918968070537,0.06795,ICRA AAA,32500.0,2030-05-31,,
ABSLF Corporate Bond Fund,ABSLF,INE936D07182,7.90% Jamnagar Utilities & Power Private Limited (10/08/2028),28983.2,1.01350968007368,0.0685,CRISIL AAA,28200.0,2028-08-10,,
ABSLF Corporate Bond Fund,ABSLF,INE041007142,7.96% Embassy Office Parks REIT (27/09/2027) **,26095.25,0.912521260909372,0.0696,CRISIL AAA,25500.0,2027-09-27,,
ABSLF Corporate Bond Fund,ABSLF,INE115A07QM6,7.77% LIC Housing Finance Limited (11/08/2028) **,25628.78,0.896209280052694,0.0682,CRISIL AAA,2500.0,2028-08-11,,
ABSLF Corporate Bond Fund,ABSLF,INE115A07QN4,7.69% LIC Housing Finance Limited (06/02/2034) **,25585.83,0.894707367121691,0.073,CRISIL AAA,25000.0,2034-02-06,,
ABSLF Corporate Bond Fund,ABSLF,INE053F08403,7.39% Indian Railway Finance Corporation Limited (15/07/2034) **,24632.9,0.8613847973399871,0.0698,ICRA AAA,24000.0,2034-07-15,,
ABSLF Corporate Bond Fund,ABSLF,INE261F08EI9,7.70% National Bank For Agriculture and Rural Development (30/09/2027) **,24494.26,0.8565364335668161,0.0663,ICRA AAA,24000.0,2027-09-30,,
ABSLF Corporate Bond Fund,ABSLF,INE041007167,7.21% Embassy Office Parks REIT (17/03/2028),22869.86,0.799733285729183,0.0707,CRISIL AAA,22700.0,2028-03-17,,
ABSLF Corporate Bond Fund,ABSLF,INE774D07VF8,8.18% Mahindra & Mahindra Financial Services Limited (31/05/2029) **,22643.9,0.7918314368028929,0.07265,CRISIL AAA,22000.0,2029-05-31,,
ABSLF Corporate Bond Fund,ABSLF,INE296A07SY5,7.93% Bajaj Finance Limited (02/05/2034) **,21125.31,0.738728254093451,0.07435,CRISIL AAA,20500.0,2034-05-02,,
ABSLF Corporate Bond Fund,ABSLF,INE976I07CY9,8.098% Tata Capital Limited (23/09/2027) **,20427.64,0.7143314706838549,0.07,ICRA AAA,20000.0,2027-09-23,,
ABSLF Corporate Bond Fund,ABSLF,INE556F08KD0,7.75% Small Industries Development Bank of India (27/10/2025),20069.9,0.7018217074257179,0.061,ICRA AAA,2000.0,2025-10-27,,
ABSLF Corporate Bond Fund,ABSLF,INE831R07557,7.8989% Aditya Birla Housing Finance Limited (08/06/2027) **,19247.0,0.6730458249828251,0.07105,ICRA AAA,19000.0,2027-06-08,,
ABSLF Corporate Bond Fund,ABSLF,INE377Y07508,7.89% Bajaj Housing Finance Limited (14/07/2034),19172.92,0.670455296185581,0.0732,CRISIL AAA,18500.0,2034-07-14,,
ABSLF Corporate Bond Fund,ABSLF,INE115A07QT1,7.865% LIC Housing Finance Limited (20/08/2026) **,18217.6,0.637048940993337,0.06625,CRISIL AAA,18000.0,2026-08-20,,
ABSLF Corporate Bond Fund,ABSLF,INE053F08486,7.17% Indian Railway Finance Corporation Limited (27/04/2035),18217.35,0.637040128838305,0.07,ICRA AAA,18000.0,2035-04-27,,
ABSLF Corporate Bond Fund,ABSLF,INE556F08KX8,7.49% Small Industries Development Bank of India (11/06/2029) **,17923.22,0.6267547353482971,0.067487,CRISIL AAA,17500.0,2029-06-11,,
ABSLF Corporate Bond Fund,ABSLF,INE306N07NP4,7.97% Tata Capital Limited (19/07/2028) **,17902.19,0.626019165185232,0.070799,ICRA AAA,1750.0,2028-07-19,,
ABSLF Corporate Bond Fund,ABSLF,INE134E08NO0,7.44% Power Finance Corporation Limited (15/01/2030) **,17901.89,0.626008761946652,0.06815,ICRA AAA,17500.0,2030-01-15,,
ABSLF Corporate Bond Fund,ABSLF,INE134E08NL6,7.42% Power Finance Corporation Limited (15/04/2028) **,17805.36,0.6226332170053319,0.0668,ICRA AAA,17500.0,2028-04-15,,
ABSLF Corporate Bond Fund,ABSLF,INE507T07062,6.59% Summit Digitel Infrastructure Private Limited (16/06/2026) **,17533.51,0.613127104764855,0.06515,CRISIL AAA,1750.0,2026-06-16,,
ABSLF Corporate Bond Fund,ABSLF,INE511C07870,7.60% Poonawalla Fincorp Limited (28/05/2027) **,17521.63,0.612711587176901,0.075007,CRISIL AAA,17500.0,2027-05-28,,
ABSLF Corporate Bond Fund,ABSLF,INE296A07SI8,7.90% Bajaj Finance Limited (13/04/2028) **,16299.44,0.569972984961711,0.0709,CRISIL AAA,1600.0,2028-04-13,,
ABSLF Corporate Bond Fund,ABSLF,INE557F08GD6,7.35% National Housing Bank (02/01/2032) **,15389.18,0.5381420472634729,0.0683,IND AAA,15000.0,2032-01-02,,
ABSLF Corporate Bond Fund,ABSLF,INE507T07096,8.05% Summit Digitel Infrastructure Private Limited (31/05/2027) **,15336.18,0.536288872041622,0.0691,CRISIL AAA,1500.0,2027-05-31,,
ABSLF Corporate Bond Fund,ABSLF,INE261F08EL3,7.40% National Bank For Agriculture and Rural Development (29/04/2030),15326.75,0.53595894076097,0.06835,ICRA AAA,15000.0,2030-04-29,,
ABSLF Corporate Bond Fund,ABSLF,INE976I07CT9,8.285% Tata Capital Limited (10/05/2027) **,15306.35,0.53524557582983,0.0699,ICRA AAA,15000.0,2027-05-10,,
ABSLF Corporate Bond Fund,ABSLF,INE261F08EM1,7.53% National Bank For Agriculture and Rural Development (24/03/2028),15296.69,0.534907776553614,0.066658,ICRA AAA,15000.0,2028-03-24,,
ABSLF Corporate Bond Fund,ABSLF,INE514E08GD0,7.14% Export Import Bank of India (13/12/2029) **,15276.89,0.534215392943978,0.06625,ICRA AAA,15000.0,2029-12-13,,
ABSLF Corporate Bond Fund,ABSLF,INE774D07VG6,8.01% Mahindra & Mahindra Financial Services Limited (24/12/2027) **,15257.34,0.533531926395981,0.07175,ICRA AAA,15000.0,2027-12-24,,
ABSLF Corporate Bond Fund,ABSLF,INE115A07RA9,7.69% LIC Housing Finance Limited (11/12/2026),15188.37,0.531120123489083,0.0665,CRISIL AAA,15000.0,2026-12-11,,
ABSLF Corporate Bond Fund,ABSLF,INE128M08094,7.55% L&T Metro Rail Hyderabad Ltd (28/04/2035),15018.98,0.525196571895434,0.07525,CRISIL AAA(CE),15000.0,2035-04-28,,
ABSLF Corporate Bond Fund,ABSLF,INE053F08528,6.58% Indian Railway Finance Corporation Limited (30/05/2030) **,14906.63,0.5212678194437891,0.067375,ICRA AAA,15000.0,2030-05-30,,
ABSLF Corporate Bond Fund,ABSLF,INE115A07PF2,6.01% LIC Housing Finance Limited (19/05/2026) **,14435.23,0.504783616906431,0.0652,CRISIL AAA,1450.0,2026-05-19,,
ABSLF Corporate Bond Fund,ABSLF,INE062A08447,7.42% State Bank of India (29/08/2039) **,13628.02,0.4765564659586089,0.073077,ICRA AAA,135.0,2039-08-29,,
ABSLF Corporate Bond Fund,ABSLF,INE756I07EL8,8.04% HDB Financial Services Limited (25/02/2026) **,13579.81,0.4748706692290569,0.0673,CRISIL AAA,1350.0,2026-02-25,,
ABSLF Corporate Bond Fund,ABSLF,INE261F08EN9,7.37% National Bank For Agriculture and Rural Development (28/05/2035) **,12785.41,0.447091417042044,0.07035,IND AAA,12500.0,2035-05-28,,
ABSLF Corporate Bond Fund,ABSLF,INE514E08GE8,7.35% Export Import Bank of India (27/07/2028),12777.44,0.446812540310385,0.06505,ICRA AAA,12500.0,2028-07-27,,
ABSLF Corporate Bond Fund,ABSLF,INE031A08954,7.19% Housing & Urban Development Corporation Limited (27/03/2035) **,12610.59,0.440977984488783,0.070525,ICRA AAA,12500.0,2035-03-27,,
ABSLF Corporate Bond Fund,ABSLF,INE134E08NU7,6.59% Power Finance Corporation Limited (15/10/2030),12373.28,0.432679434723041,0.0683,ICRA AAA,12500.0,2030-10-15,,
ABSLF Corporate Bond Fund,ABSLF,INE556F08KR0,7.47% Small Industries Development Bank of India (05/09/2029) **,12296.32,0.429988265520315,0.067538,CRISIL AAA,12000.0,2029-09-05,,
ABSLF Corporate Bond Fund,ABSLF,INE306N07NN9,7.99% Tata Capital Limited (08/02/2034) **,11343.45,0.396667723933023,0.0747,ICRA AAA,11000.0,2034-02-08,,
ABSLF Corporate Bond Fund,ABSLF,INE020B08FD6,7.58% REC Limited (31/05/2029) **,11303.39,0.395266801096194,0.067288,ICRA AAA,11000.0,2029-05-31,,
ABSLF Corporate Bond Fund,ABSLF,INE040A08427,7.86% HDFC Bank Limited (02/12/2032) **,11030.53,0.385725146497089,0.071194,CRISIL AAA,106.0,2032-12-02,,
ABSLF Corporate Bond Fund,ABSLF,INE202E08193,7.59% Indian Renewable Energy Development Agency Ltd (26/07/2034) **,10364.51,0.362435194237686,0.07025,ICRA AAA,10000.0,2034-07-26,,
ABSLF Corporate Bond Fund,ABSLF,INE296A07SU3,7.87% Bajaj Finance Limited (08/02/2034) **,10260.54,0.358799480909714,0.07435,CRISIL AAA,10000.0,2034-02-08,,
ABSLF Corporate Bond Fund,ABSLF,INE040A08955,7.70% HDFC Bank Limited (16/05/2028) **,10200.15,0.356687710900325,0.0687,ICRA AAA,10000.0,2028-05-16,,
