Fund Name,AMC,Security Type,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,As Of Date
,,other_security,,Debt Instruments,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,(a) Listed / awaiting listing on Stock Exchange,0.0,0.0,0.0,,0.0,2025-07-31
,,isin_security,INE261F08EO7,7.48% National Bank For Agriculture and Rural Development (15/09/2028) **,131265.83,0.0459021777609958,0.06695,CRISIL AAA,128500.0,2025-07-31
,,isin_security,INE556F08KG3,7.59% Small Industries Development Bank of India (10/02/2026) **,75005.87,0.0262287056892521,0.0629,CRISIL AAA,74550.0,2025-07-31
,,isin_security,INE556F08KF5,7.54% Small Industries Development Bank of India (12/01/2026) **,60287.7,0.0210819269407269,0.063549,ICRA AAA,6000.0,2025-07-31
,,isin_security,INE936D07190,7.43% Jamnagar Utilities & Power Private Limited (24/10/2034) **,59377.72,0.0207637165256443,0.07325,CRISIL AAA,59000.0,2025-07-31
,,isin_security,INE020B08FV8,6.81% REC Limited (30/04/2036) **,58969.98,0.0206211351578535,0.0704,ICRA AAA,60000.0,2025-07-31
,,isin_security,INE377Y07458,7.80% Bajaj Housing Finance Limited (09/02/2034) **,56594.07,0.0197903045498294,0.0732,CRISIL AAA,55000.0,2025-07-31
,,isin_security,INE296A07SV1,7.82% Bajaj Finance Limited (31/01/2034) **,46075.91,0.0161122229399674,0.0742,CRISIL AAA,45000.0,2025-07-31
,,isin_security,INE306N07LO1,8.50% Tata Capital Limited (06/11/2029) **,38176.96,0.013350049798074,0.07195,ICRA AAA,3650.0,2025-07-31
,,isin_security,INE498L07137,7.2092% L&T Finance Limited (29/06/2027) **,35030.49,0.0122497644705011,0.071471,ICRA AAA,35000.0,2025-07-31
,,isin_security,INE115A07QI4,7.71% LIC Housing Finance Limited (09/05/2033) **,33657.46,0.0117696323152785,0.0725,CRISIL AAA,3280.0,2025-07-31
,,isin_security,INE134E08MX3,7.60% Power Finance Corporation Limited (13/04/2029) **,33366.0,0.0116677111399947,0.0675,ICRA AAA,32500.0,2025-07-31
,,isin_security,INE134E08NN2,7.40% Power Finance Corporation Limited (15/01/2035) **,33295.96,0.0116432198182473,0.0703,ICRA AAA,32500.0,2025-07-31
,,isin_security,INE115A07QS3,7.9265% LIC Housing Finance Limited (14/07/2027) **,33138.66,0.0115882137870373,0.0681,CRISIL AAA,32500.0,2025-07-31
,,isin_security,INE115A07QL8,7.64% LIC Housing Finance Limited (26/07/2033) **,32735.58,0.0114472635421492,0.0725,CRISIL AAA,3200.0,2025-07-31
