Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,As Of Date
ICICI Prudential Corporate Bond Fund,ICICI,IN0020200120,,192762.57,0.0582204263796,0,,185277360.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN0020240019,,123981.83,0.0374464555329,0,,118594780.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN0020240035,,60166.58,0.0181722205789,0,,58412000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN0020240126,,32707.75,0.0098787806726,0,,31810910.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN0020210137,,29860.44,0.0090188025023,0,,29217650.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN0020240118,,15068.72,0.0045512326557,0,,15000000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN2220240427,,15022.62,0.0045373089897,0,,14882100.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN2220240435,,14136.68,0.004269726935,0,,14000000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN3520240083,,11408.79,0.0034458174025,0,,11051200.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN1920240257,,5807.69,0.0017541070762,0,,5657700.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN3420240241,,2063.4,0.0006232124202,0,,2021800.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN2920150355,,1448.9,0.0004376138779,0,,1425000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN1220150024,,507.54,0.0001532932207,0,,500000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN2220150139,,504.75,0.000152450552,0,,500000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN2920150454,,284.48,8.5922007e-05,0,,280000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,IN0020240134,,37.18,,0,,36350.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE261F08DX0,,111323.72,0.0336233037594,0,,110250.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07RF8,,110060.77,0.0332418526951,0,,108500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE261F08EM1,,97353.41,0.0294038258553,0,,95550.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE01XX07034,,83390.51,0.0251865860068,0,,80500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE029A08073,,59486.28,0.017966748344,0,,59000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08EM0,,53049.94,0.0160227689753,0,,52500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07QC7,,50938.5,0.0153850469473,0,,5000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE733E08254,,50165.13,0.0151514646126,0,,49800.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE134E08MO2,,47822.81,0.014444009482,0,,47500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KD0,,46175.81,0.0139465631041,0,,4600.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE280A08015,,43155.92,0.0130344602855,0,,43000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE040A08AF2,,41449.68,0.0125191215436,0,,40000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE261F08EF5,,40713.88,0.0122968865437,0,,40000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KI9,,40364.16,0.0121912599819,0,,40000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE261F08DW2,,35244.51,0.0106449628667,0,,35000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE774D07VK8,,31412.39,0.0094875407575,0,,31000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08ED9,,30796.64,0.0093015646754,0,,30500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE134E08NL6,,30526.95,0.0092201097187,0,,30000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE128M08078,,30461.75,0.0092004172452,0,,3050.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE936D07190,,29653.05,0.0089561641269,0,,29500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE507T07146,,29189.21,0.0088160696959,0,,28300.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08EP3,,28401.04,0.0085780172905,0,,28000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KJ7,,28298.65,0.0085470922543,0,,28000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE261F08EA6,,27760.32,0.0083844994743,0,,27500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KU4,,27020.41,0.0081610231236,0,,26500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KG3,,25670.21,0.0077532197846,0,,25500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE915D08CX8,,25506.27,0.0077037046909,0,,25500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE041007183,,25015.15,0.0075553708323,0,,25000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE134E08LP1,,23130.3,0.0069860861903,0,,2300.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE936D07182,,20510.26,0.0061947507877,0,,20000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE134E08NP7,,20393.26,0.0061594130669,0,,20000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07RB7,,20328.86,0.0061399622188,0,,20000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE033L07IE2,,20312.94,0.0061351538725,0,,20000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE134E08LZ0,,20117.62,0.006076161021,0,,2000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE0NDH07050,,20115.8,0.0060756113231,0,,20000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE033L07IN3,,20097.66,0.0060701324662,0,,20000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE507T07062,,19988.06,0.0060370297807,0,,2000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07QV7,,19880.27,0.0060044737727,0,,19500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07MW4,,19414.03,0.0058636544654,0,,1900.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KT6,,19321.75,0.0058357829707,0,,19000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07QW5,,18818.96,0.0056839244009,0,,18500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE062A08256,,18090.14,0.005463797583,0,,1815.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE941D07208,,18011.72,0.0054401122491,0,,1800.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE153A08170,,17504.5,0.0052869156785,0,,17500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE915D08CY6,,17005.44,0.0051361836873,0,,17000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08DT7,,16432.42,0.0049631134241,0,,1650.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE153A08089,,16171.23,0.0048842257378,0,,1667.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KH1,,16142.83,0.0048756480346,0,,16000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE0J7Q07249,,15525.59,0.0046892219251,0,,15000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE016A08021,,15165.17,0.004580363623,0,,15000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08EL2,,15113.3,0.0045646972335,0,,15000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE975F07ID8,,15100.79,0.0045609188156,0,,15000.0,2025-07-31
