Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,As Of Date
Nippon India Corporate Bond Fund,NIPPON,IN0020240076,7.02% Government of India,41580.08,0,0,,40000000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN0020240134,6.92% Government of India,35703.96,0,0,,35000000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN0020240126,6.79% Government of India,33832.49,0,0,,33000000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN0020240019,7.1% Government of India,23450.67,0,0,,22500000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN2120240212,7.17% State Government Securities,10254.62,0,0,,10000000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN3520230027,7.4% State Government Securities,7762.21,0,0,,7500000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN3120230328,7.68% State Government Securities,5257.82,0,0,,5000000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN1320230098,7.7% State Government Securities,5252.53,0,0,,5000000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN3320210047,7.01% State Government Securities,5098.66,0,0,,5000000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN2920210027,6.75% State Government Securities,5023.49,0,0,,5000000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN0020250026,6.33% Government of India,4982.93,0,0,,5000000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN2220220122,7.76% State Government Securities,4742.23,0,0,,4500000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN2220240401,7.12% State Government Securities,4558.1,0,0,,4500000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN1320230106,7.78% State Government Securities,3691.7,0,0,,3500000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN2220220080,7.86% State Government Securities,2637.7,0,0,,2500000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN3120230336,7.67% State Government Securities,2628.63,0,0,,2500000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN1520200156,6.7% State Government Securities,2017.09,0,0,,2000000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN3320200121,6.91% State Government Securities,1525.06,0,0,,1500000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN3320200105,6.74% State Government Securities,1513.94,0,0,,1500000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,IN2920190336,7.17% State Government Securities,1023.6,0,0,,1000000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE261F08EO7,7.48% National Bank For Agriculture and Rural Development**,22473.53,0,0,,22000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE261F08EJ7,7.64% National Bank For Agriculture and Rural Development**,21141.26,0,0,,20500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE556F08KX8,7.49% Small Industries Dev Bank of India**,20483.68,0,0,,20000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE831R07573,7.86% Aditya Birla Housing Finance Limited**,20401.68,0,0,,20000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE556F08KS8,7.34% Small Industries Dev Bank of India,18331.52,0,0,,18000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE020B08FZ9,6.6% REC Limited**,17524.87,0,0,,17500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE053F07AY7,8.45% Indian Railway Finance Corporation Limited**,17502.61,0,0,,1658.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE936D07182,7.9% Jamnagar Utilities & Power Private Limited,15416.6,0,0,,15000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE556F08KR0,7.47% Small Industries Dev Bank of India**,15370.4,0,0,,15000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE296A07TJ4,7.38% Bajaj Finance Limited**,15093.14,0,0,,15000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE115A07RH4,6.9% LIC Housing Finance Limited**,15028.68,0,0,,15000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE377Y07565,7.02% Bajaj Housing Finance Limited**,15015.2,0,0,,15000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE280A08015,7.75% Titan Company Limited**,14548.55,0,0,,14500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE261F08EH1,7.62% National Bank For Agriculture and Rural Development**,13351.73,0,0,,13000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE756I07EJ2,7.65% HDB Financial Services Limited**,13129.84,0,0,,1300.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE674K07036,7.38% Aditya Birla Capital Limited**,12532.03,0,0,,12500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE507T07138,7.89% Summit Digitel Infrastructure Limited**,11300.07,0,0,,11000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE0NDH07035,7.72% Nexus Select Trust - REIT**,10691.38,0,0,,10500.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE756I08256,8.4% HDB Financial Services Limited**,10333.71,0,0,,10000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE041007159,7.73% Embassy Office Parks REIT**,10254.44,0,0,,10000.0,2025-07-31
Nippon India Corporate Bond Fund,NIPPON,INE053F08411,7.37% Indian Railway Finance Corporation Limited**,10244.53,0,0,,10000.0,2025-07-31
