Fund Name,AMC,Security Type,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,As Of Date
,,other_security,,EQUITY & EQUITY RELATED,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,a) Listed/awaiting listing on Stock Exchanges,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,b) Unlisted,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,c) Foreign Securities and /or overseas ETF,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,DEBT INSTRUMENTS,0.0,0.0,0.0,,0.0,2025-07-31
,,other_security,,a) Listed/awaiting listing on the stock exchanges,0.0,0.0,0.0,,0.0,2025-07-31
,,isin_security,INE002A07809,Reliance Industries Ltd.,93349.96,3.7,6.96,CRISIL AAA,89000.0,2025-07-31
,,cash_equivalent,INE062A08256,State Bank of India( Tier II Bond under Basel III ),82459.49,3.26,6.2462,CRISIL AAA,8250.0,2025-07-31
,,cash_equivalent,INE261F08EJ7,National Bank for Agriculture and Rural Development,79408.64,3.14,6.77,[ICRA]AAA,77000.0,2025-07-31
,,isin_security,INE01XX07034,Pipeline Infrastructure Pvt Ltd.,70680.64,2.8,6.765,CRISIL AAA,67900.0,2025-07-31
,,isin_security,INE115A07RC5,LIC Housing Finance Ltd.,61480.38,2.43,6.975,CRISIL AAA,60000.0,2025-07-31
,,isin_security,INE296A07TI6,Bajaj Finance Ltd.,60750.36,2.41,7.23,CRISIL AAA,60000.0,2025-07-31
,,cash_equivalent,INE556F08KS8,Small Industries Development Bank of India,50411.69,2.0,6.7475,CRISIL AAA,49500.0,2025-07-31
,,isin_security,INE756I07FG5,HDB Financial Services Ltd.,50281.85,1.99,7.165,CRISIL AAA,50000.0,2025-07-31
,,isin_security,INE0KXY07034,Vertis Infrastructure Trust,39536.66,1.57,7.0257,CRISIL AAA,38750.0,2025-07-31
,,cash_equivalent,INE556F08KX8,Small Industries Development Bank of India,38406.9,1.52,6.7487,CRISIL AAA,37500.0,2025-07-31
,,cash_equivalent,INE062A08264,State Bank of India( Tier II Bond under Basel III ),36935.21,1.46,5.8631,CRISIL AAA,3700.0,2025-07-31
,,isin_security,INE219X07447,IndiGrid Infrastructure Trust,36038.77,1.43,7.155,CRISIL AAA,35000.0,2025-07-31
,,isin_security,INE134E08ND3,Power Finance Corporation Ltd.,35637.56,1.41,6.895,CRISIL AAA,35000.0,2025-07-31
,,isin_security,INE507T07153,Summit Digitel Infrastructure Pvt. Ltd.,33650.3,1.33,7.375,CRISIL AAA,33000.0,2025-07-31
,,isin_security,INE033L07IJ1,Tata Capital Housing Finance Ltd.,32876.1,1.3,7.065,CRISIL AAA,32000.0,2025-07-31
,,isin_security,INE033L07IN3,Tata Capital Housing Finance Ltd.,32224.03,1.28,6.96,CRISIL AAA,32000.0,2025-07-31
,,isin_security,INE507T07120,Summit Digitel Infrastructure Pvt. Ltd.,30952.41,1.23,7.2049,CRISIL AAA,30000.0,2025-07-31
,,cash_equivalent,INE261F08EG3,National Bank for Agriculture and Rural Development,30863.04,1.22,6.77,CRISIL AAA,30000.0,2025-07-31
,,isin_security,INE020B08FP0,REC Ltd.,30766.26,1.22,7.34,CRISIL AAA,295.0,2025-07-31
,,isin_security,INE0CCU07132,Mindspace Business Parks Reit,30435.3,1.2,7.0957,[ICRA]AAA,30000.0,2025-07-31
,,isin_security,INE660A07RT4,Sundaram Finance Ltd.,30081.06,1.19,6.955,[ICRA]AAA,29500.0,2025-07-31
