Fund Name,AMC,Security Type,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,As Of Date
,,other_security,,(a)  Listed/awaiting listing on Stock Exchanges,0.0,0.0,0.0,,0.0,2025-07-31
,,cash_equivalent,INE514E08GB4,NCD EXPORT IMPORT BANK OF INDIA,17810.8,3.09,6.67,CRISIL-AAA,17500.0,2025-07-31
,,isin_security,INE115A07QK0,NCD LIC HOUSING FINANCE LTD.,17740.94,3.07,7.42,CRISIL-AAA,1750.0,2025-07-31
,,cash_equivalent,INE261F08EK5,NCD NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT,15187.29,2.63,6.84,CRISIL-AAA,15000.0,2025-07-31
,,isin_security,INE296A07TJ4,NCD BAJAJ FINANCE LTD.,15039.3,2.61,7.22,CRISIL-AAA,15000.0,2025-07-31
,,cash_equivalent,INE514E08GF5,NCD EXPORT IMPORT BANK OF INDIA,13168.36,2.28,6.79,CRISIL-AAA,13000.0,2025-07-31
,,cash_equivalent,INE261F08EF5,NCD NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT,11658.91,2.02,6.75,ICRA-AAA,11500.0,2025-07-31
,,isin_security,INE242A08551,NCD INDIAN OIL CORPORATION LTD.,10718.74,1.86,6.72,CRISIL-AAA,10500.0,2025-07-31
,,cash_equivalent,INE514E08GE8,NCD EXPORT IMPORT BANK OF INDIA,10164.89,1.76,6.7,CRISIL-AAA,10000.0,2025-07-31
,,isin_security,INE134E08NH4,NCD POWER FINANCE CORPORATION LTD.,10160.6,1.76,6.95,CRISIL-AAA,10000.0,2025-07-31
,,isin_security,INE115A07QW5,NCD LIC HOUSING FINANCE LTD.,10160.09,1.76,6.97,CRISIL-AAA,10000.0,2025-07-31
,,cash_equivalent,INE556F08KN9,NCD SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,10156.27,1.76,6.76,CRISIL-AAA,10000.0,2025-07-31
,,cash_equivalent,INE261F08EO7,NCD NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT,10155.88,1.76,6.89,CRISIL-AAA,10000.0,2025-07-31
,,isin_security,INE020B08EG2,NCD REC LTD,7687.82,1.33,7.24,CRISIL-AAA,7500.0,2025-07-31
,,isin_security,INE053F08353,NCD INDIAN RAILWAY FINANCE CORPORATION LIMITED,7657.31,1.33,6.9,CRISIL-AAA,7500.0,2025-07-31
,,isin_security,INE053F08320,NCD INDIAN RAILWAY FINANCE CORPORATION LIMITED,7635.11,1.32,6.78,CRISIL-AAA,7500.0,2025-07-31
,,cash_equivalent,INE556F08KM1,NCD SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,7617.75,1.32,6.76,CRISIL-AAA,7500.0,2025-07-31
,,isin_security,INE020B08FA2,NCD REC LTD,7599.22,1.32,6.71,CRISIL-AAA,7500.0,2025-07-31
,,cash_equivalent,INE556F08KS8,NCD SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,7587.64,1.32,6.96,CRISIL-AAA,7500.0,2025-07-31
,,isin_security,INE916DA7RP6,NCD KOTAK MAHINDRA PRIME LTD.,7575.44,1.31,7.17,CRISIL-AAA,750.0,2025-07-31
,,isin_security,INE507T07070,NCD SUMMIT DIGITEL INFRASTRUCTURE LTD,7560.38,1.31,7.3,CRISIL-AAA,750.0,2025-07-31
,,isin_security,INE733E08262,NCD NTPC LTD.,7495.25,1.3,7.26,CRISIL-AAA,7500.0,2025-07-31
,,isin_security,INE756I07DX5,NCD HDB FINANCIAL SERVICES LTD.,7452.02,1.29,7.04,CRISIL-AAA,750.0,2025-07-31
,,isin_security,INE053F08510,NCD INDIAN RAILWAY FINANCE CORPORATION LIMITED,7450.76,1.29,6.75,CRISIL-AAA,7500.0,2025-07-31
,,isin_security,INE134E08JI0,NCD POWER FINANCE CORPORATION LTD.,6108.59,1.06,6.86,CRISIL-AAA,600.0,2025-07-31
,,isin_security,INE134E08KV1,NCD POWER FINANCE CORPORATION LTD.,5154.8,0.89,6.95,CRISIL-AAA,500.0,2025-07-31
,,isin_security,INE296A07TC9,NCD BAJAJ FINANCE LTD.,5089.34,0.88,7.12,CRISIL-AAA,5000.0,2025-07-31
,,isin_security,INE134E08NO0,NCD POWER FINANCE CORPORATION LTD.,5087.43,0.88,6.95,CRISIL-AAA,5000.0,2025-07-31
,,isin_security,INE242A08569,NCD INDIAN OIL CORPORATION LTD.,5087.35,0.88,6.76,CRISIL-AAA,5000.0,2025-07-31
