Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,Maturity Date
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE261F08EO7,7.48% National Bank For Agriculture and Rural Development (15/09/2028) **,131265.83,4.59021777609958,0.06695,CRISIL AAA,128500.0,2028-09-15
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE556F08KG3,7.59% Small Industries Development Bank of India (10/02/2026) **,75005.87,2.6228705689252103,0.0629,CRISIL AAA,74550.0,2026-02-10
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE556F08KF5,7.54% Small Industries Development Bank of India (12/01/2026) **,60287.7,2.10819269407269,0.063549,ICRA AAA,6000.0,2026-01-12
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE936D07190,7.43% Jamnagar Utilities & Power Private Limited (24/10/2034) **,59377.72,2.07637165256443,0.07325,CRISIL AAA,59000.0,2034-10-24
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE020B08FV8,6.81% REC Limited (30/04/2036) **,58969.98,2.06211351578535,0.0704,ICRA AAA,60000.0,2036-04-30
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE377Y07458,7.80% Bajaj Housing Finance Limited (09/02/2034) **,56594.07,1.9790304549829398,0.0732,CRISIL AAA,55000.0,2034-02-09
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE296A07SV1,7.82% Bajaj Finance Limited (31/01/2034) **,46075.91,1.6112222939967402,0.0742,CRISIL AAA,45000.0,2034-01-31
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE306N07LO1,8.50% Tata Capital Limited (06/11/2029) **,38176.96,1.3350049798074,0.07195,ICRA AAA,3650.0,2029-11-06
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE498L07137,7.2092% L&T Finance Limited (29/06/2027) **,35030.49,1.2249764470501099,0.071471,ICRA AAA,35000.0,2027-06-29
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE115A07QI4,7.71% LIC Housing Finance Limited (09/05/2033) **,33657.46,1.17696323152785,0.0725,CRISIL AAA,3280.0,2033-05-09
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE134E08MX3,7.60% Power Finance Corporation Limited (13/04/2029) **,33366.0,1.16677111399947,0.0675,ICRA AAA,32500.0,2029-04-13
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE134E08NN2,7.40% Power Finance Corporation Limited (15/01/2035) **,33295.96,1.16432198182473,0.0703,ICRA AAA,32500.0,2035-01-15
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE115A07QS3,7.9265% LIC Housing Finance Limited (14/07/2027) **,33138.66,1.15882137870373,0.0681,CRISIL AAA,32500.0,2027-07-14
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE115A07QL8,7.64% LIC Housing Finance Limited (26/07/2033) **,32735.58,1.14472635421492,0.0725,CRISIL AAA,3200.0,2033-07-26
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE020B08FU0,6.87% REC Limited (31/05/2030),32577.25,1.13918968070537,0.06795,ICRA AAA,32500.0,2030-05-31
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE936D07182,7.90% Jamnagar Utilities & Power Private Limited (10/08/2028),28983.2,1.01350968007368,0.0685,CRISIL AAA,28200.0,2028-08-10
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE041007142,7.96% Embassy Office Parks REIT (27/09/2027) **,26095.25,0.912521260909372,0.0696,CRISIL AAA,25500.0,2027-09-27
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE115A07QM6,7.77% LIC Housing Finance Limited (11/08/2028) **,25628.78,0.896209280052694,0.0682,CRISIL AAA,2500.0,2028-08-11
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE115A07QN4,7.69% LIC Housing Finance Limited (06/02/2034) **,25585.83,0.894707367121691,0.073,CRISIL AAA,25000.0,2034-02-06
Aditya Birla Sun Life Corporate Bond Fund,ABSLF,INE053F08403,7.39% Indian Railway Finance Corporation Limited (15/07/2034) **,24632.9,0.8613847973399871,0.0698,ICRA AAA,24000.0,2034-07-15
