Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,Coupon,Maturity Date
,,IN0020240134,6.92% GOI MAT 181139,239726.56,6.66,6.8098,Sovereign,235000000.0,6.92,2039-11-18
,,IN0020200120,Floating Rate GOI 2033,92515.5,2.57,7.35,Sovereign,89000000.0,7.81,
,,IN0020250042,6.68% GOI MAT 070740,77527.59,2.16,6.7869,Sovereign,77500000.0,6.68,2040-07-07
,,IN0020210137,Floating Rate GOI 2034,48568.75,1.35,6.7554,Sovereign,47500000.0,6.99,
,,IN0020240027,7.23% GOI MAT 150439,40946.18,1.14,6.7784,Sovereign,39000000.0,7.23,2039-04-15
,,IN0020180041,6.63% GOI MAT 071231^,35822.5,1.0,6.2736,Sovereign,35000000.0,6.63,2031-12-07
,,IN0020250018,6.9% GOI MAT 150465,29275.71,0.81,7.2068,Sovereign,30000000.0,6.9,2065-04-15
,,IN0020240118,7.09% GOI MAT 050854,17631.18,0.49,7.1525,Sovereign,17500000.0,7.09,2054-08-05
,,IN0020230077,7.18% GOI MAT 240737,16182.03,0.45,6.7517,Sovereign,15500000.0,7.18,2037-07-24
,,IN0020220029,7.54% GOI MAT 230536,16099.46,0.45,6.6882,Sovereign,15000000.0,7.54,2036-05-23
,,IN0020220102,7.41% GOI MAT 191236,10631.19,0.3,6.7202,Sovereign,10000000.0,7.41,2036-12-19
,,IN0020210152,6.67% GOI MAT 151235,10118.0,0.28,6.6164,Sovereign,10000000.0,6.67,2035-12-15
,,IN2220250111,7.08% Maharashtra SDL ISD 250625 MAT 250639^,10021.25,0.28,7.1791,Sovereign,10000000.0,7.08,2039-06-25
,,IN1520230203,7.64% Gujarat SDL ISD 170124 MAT 170133^,8904.5,0.25,6.9311,Sovereign,8500000.0,7.64,2033-01-17
,,IN3720230017,7.68% Jharkhand SDL ISD 240124 Mat 240132^,7888.32,0.22,6.7938,Sovereign,7500000.0,7.68,
,,IN0020240035,7.34% GOI MAT 220464,7722.51,0.21,7.2392,Sovereign,7500000.0,7.34,2064-04-22
,,IN1520230211,7.64% % Gujarat SDL ISD 170124 Mat 170134^,7336.71,0.2,6.9982,Sovereign,7000000.0,7.64,
,,IN1520230237,7.63% Gujarat SDL ISD 240124 Mat 240134^,5237.85,0.15,6.9982,Sovereign,5000000.0,7.63,
,,IN3520230118,7.67% Chhattisgarh SDL ISD 240124 Mat 240131^,5228.68,0.15,6.7707,Sovereign,5000000.0,7.67,
,,IN3520230092,7.68% Chattisgarh SDL ISD 170124 MAT 170132^,5259.36,0.15,6.7891,Sovereign,5000000.0,7.68,2032-01-17
,,IN1020250040,6.88% Andhra Pradesh SDL ISD 040425 MAT 040440^,4881.9,0.14,7.2683,Sovereign,5000000.0,6.88,2040-04-04
,,IN1020240785,7.09% Andhra Pradesh SDL ISD 260325 MAT 260335^,5070.09,0.14,7.0056,Sovereign,5000000.0,7.09,2035-03-26
,,IN2220240369,7.11% Maharashtra SDL ISD 080125 MAT 080138^,5025.61,0.14,7.1708,Sovereign,5000000.0,7.11,2038-01-08
,,IN1020240017,7.39% Andhra Pradesh SDL ISD 030424 MAT 030430^,5172.33,0.14,6.6142,Sovereign,4997900.0,7.39,2030-04-03
,,IN1320210041,6.82% Bihar SDL - ISD 140721 Mat 140728^,4072.14,0.11,6.2355,Sovereign,4000000.0,6.82,
,,IN000535C020,GOI STRIPS - Mat 250535^,4069.49,0.11,6.7536,Sovereign,7728100.0,,
,,IN001135C028,GOI STRIPS - Mat 251135^,3919.45,0.11,6.8036,Sovereign,7728100.0,,
,,IN2220250103,7.03% Maharashtra SDL ISD 250625 MAT 250638^,3494.77,0.1,7.1708,Sovereign,3500000.0,7.03,2038-06-25
,,IN0020230150,7.24% GOI MAT 111233^,3122.7,0.09,6.5498,Sovereign,2972300.0,7.24,2033-12-11
,,IN2920230389,7.66% RAJASTHAN SDL ISD 240124 Mat 240131^,2613.37,0.07,6.7692,Sovereign,2500000.0,7.66,
,,IN1620250085,7.05% Haryana SDL ISD 250625 Mat 250638,1503.0,0.04,7.1484,Sovereign,1500000.0,7.05,
,,IN000635C044,GOI STRIPS - Mat 120635^,1332.43,0.04,6.7509,Sovereign,2537500.0,,
,,IN001235C042,GOI STRIPS - Mat 121235^,1281.93,0.04,6.8116,Sovereign,2537500.0,,
,,IN0020220136,7.1% GOI MAT 270128^,1029.48,0.03,5.9365,Sovereign,1000000.0,7.1,2028-01-27
,,IN1520230229,7.63% Gujarat SDL ISD 240124 Mat 240133^,1047.13,0.03,6.9311,Sovereign,1000000.0,7.63,
,,IN001035C038,GOI STRIPS - Mat 221035^,1031.48,0.03,6.7879,Sovereign,2018500.0,,
,,IN000435C031,GOI STRIPS - Mat 220435^,811.49,0.02,6.7568,Sovereign,1532300.0,,
,,IN3120220089,7.64% Tamil Nadu SDL MAT 270729^,315.14,0.01,6.3884,Sovereign,301000.0,7.64,2029-07-27
,,IN2220230014,7.36% Maharashtra SDL ISD 120423 Mat 120428^,66.0,,6.1737,Sovereign,64000.0,7.36,
,,INE296A07TH8,Bajaj Finance Ltd.,113265.45,3.15,7.44,CRISIL - AAA,112500.0,7.55,
,,INE062A08454,State Bank of India (Tier 2 - Basel III)^,80500.08,2.24,7.255,CRISIL - AAA,800.0,7.33,
,,INE040A08666,HDFC Bank Ltd.£^,51795.4,1.44,7.17,CRISIL - AAA,50000.0,7.8,
,,INE115A07QJ2,LIC Housing Finance Ltd.^,51063.3,1.42,6.82,CRISIL - AAA,5000.0,7.7,
,,INE556F08KU4,Small Industries Development Bank^,51068.8,1.42,6.665,CRISIL - AAA,50000.0,7.51,
,,INE020B08BH6,REC Limited.^,47408.45,1.32,6.67,CRISIL - AAA,4500.0,8.37,
,,INE556F08KL3,Small Industries Development Bank^,46493.55,1.29,6.66,CRISIL - AAA,45000.0,7.83,
,,INE062A08264,State Bank of India (Tier 2 - Basel III)^,44921.21,1.25,5.86,CRISIL - AAA,4500.0,5.83,
,,INE906B07GP0,National Highways Authority of India^,43069.6,1.2,6.65,CRISIL - AAA,4100.0,8.27,
,,INE261F08EM1,National Bank for Agri & Rural Dev.,40791.16,1.13,6.67,ICRA - AAA,40000.0,7.53,
,,INE01XX07034,Pipeline Infrastructure Pvt. Ltd.^,40597.13,1.13,6.765,CRISIL - AAA,39000.0,7.96,
,,INE002A08542,Reliance Industries Ltd.^,40067.18,1.11,6.54,CRISIL - AAA,3750.0,8.95,
,,INE242A08569,Indian Oil Corporation Ltd.^,38453.81,1.07,6.555,CRISIL - AAA,37500.0,7.25,
,,INE040A08914,HDFC Bank Ltd.£^,36562.44,1.02,7.17,CRISIL - AAA,35000.0,7.97,
,,INE756I07EJ2,HDB Financial Services Ltd.^,35854.57,1.0,7.11,CRISIL - AAA,3550.0,7.65,
,,INE556F08KR0,Small Industries Development Bank^,35864.26,1.0,6.755,CRISIL - AAA,35000.0,7.47,
,,INE134E08LX5,Power Finance Corporation Ltd.^,35704.59,0.99,6.655,CRISIL - AAA,3500.0,7.59,
,,INE261F08DV4,National Bank for Agri & Rural Dev.^,33680.1,0.94,6.665,CRISIL - AAA,33000.0,7.62,
,,INE261F08EG3,National Bank for Agri & Rural Dev.,33434.96,0.93,6.77,CRISIL - AAA,32500.0,7.68,
,,INE261F08EL3,National Bank for Agri & Rural Dev.,33207.95,0.92,6.84,CRISIL - AAA,32500.0,7.4,
,,INE020B08EA5,REC Limited.^,33209.74,0.92,6.605,CRISIL - AAA,3250.0,7.55,
,,INE557F08GE4,National Housing Bank^,32437.67,0.9,6.83,CARE - AAA,32500.0,6.8,
,,INE557F08GD6,National Housing Bank^,30778.35,0.86,6.83,CARE - AAA,30000.0,7.35,
,,INE134E08MX3,Power Finance Corporation Ltd.^,30799.38,0.86,6.75,CRISIL - AAA,30000.0,7.6,
,,INE031A08939,Housing and Urban Development Corporation Ltd.^,30464.31,0.85,7.055,CARE - AAA,30000.0,7.29,
,,INE261F08EO7,National Bank for Agri & Rural Dev.^,30645.72,0.85,6.695,CRISIL - AAA,30000.0,7.48,
,,INE062A08470,State Bank of India^,30367.62,0.84,7.085,CARE - AAA,30000.0,7.23,
,,INE296A07TI6,Bajaj Finance Ltd.^,29362.67,0.82,7.23,CRISIL - AAA,29000.0,7.57,
,,INE062A08256,State Bank of India (Tier 2 - Basel III)^,26486.99,0.74,6.245,CRISIL - AAA,2650.0,6.24,
,,INE377Y07474,Bajaj Housing Finance Ltd.^,25794.63,0.72,7.045,CRISIL - AAA,25000.0,8.05,
,,INE756I07EZ8,HDB Financial Services Ltd.^,25532.78,0.71,7.11,CRISIL - AAA,25000.0,8.3439,
,,INE115A07QW5,LIC Housing Finance Ltd.^,25502.85,0.71,6.82,CRISIL - AAA,25000.0,7.74,
,,INE115A07QU9,LIC Housing Finance Ltd.^,25661.53,0.71,6.975,CRISIL - AAA,25000.0,7.75,
,,INE115A07QP9,LIC Housing Finance Ltd.^,25616.6,0.71,6.775,CRISIL - AAA,25000.0,7.73,
,,INE115A07QX3,LIC Housing Finance Ltd.^,25716.08,0.71,7.05,CRISIL - AAA,25000.0,7.65,
,,INE0KUG08019,National Bank for Financing Infrastructure and Development^,25425.93,0.71,7.135,CRISIL - AAA,25000.0,7.43,
,,INE134E08MJ2,Power Finance Corporation Ltd.,25642.5,0.71,6.68,CRISIL - AAA,25000.0,7.77,
,,INE535H07CH0,SMFG India Credit Company Ltd^,25381.08,0.71,7.195,ICRA - AAA,25000.0,8.277,
,,INE103A08035,MANGALORE REFINERY AND PETROCHEMICA^,25181.61,0.7,6.99,CRISIL - AAA,2450.0,7.75,
,,INE692Q07449,Toyota Financial Services India Ltd.^,25280.8,0.7,7.03,ICRA - AAA,25000.0,8.15,
