Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,Coupon,Maturity Date
ICICI Prudential Corporate Bond Fund,ICICI,IN0020200120,Government Securities,192762.57,5.82204263796,7.28,SOV,185277360.0,7.81,
ICICI Prudential Corporate Bond Fund,ICICI,IN0020240019,Government Securities,123981.83,3.74464555329,6.52,SOV,118594780.0,7.1,
ICICI Prudential Corporate Bond Fund,ICICI,IN0020240035,Government Securities,60166.58,1.81722205789,7.24,SOV,58412000.0,7.34,
ICICI Prudential Corporate Bond Fund,ICICI,IN0020240126,Government Securities,32707.75,0.98787806726,6.48,SOV,31810910.0,6.79,
ICICI Prudential Corporate Bond Fund,ICICI,IN0020210137,Government Securities,29860.44,0.90188025023,6.78,SOV,29217650.0,6.99,
ICICI Prudential Corporate Bond Fund,ICICI,IN0020240118,Government Securities,15068.72,0.45512326557,7.18,SOV,15000000.0,7.09,
ICICI Prudential Corporate Bond Fund,ICICI,IN2220240427,State Government of Maharashtra,15022.62,0.45373089897,7.13,SOV,14882100.0,7.12,
ICICI Prudential Corporate Bond Fund,ICICI,IN2220240435,State Government of Maharashtra,14136.68,0.4269726935,7.15,SOV,14000000.0,7.140000000000001,
ICICI Prudential Corporate Bond Fund,ICICI,IN3520240083,State Government of Chhattisgarh,11408.79,0.34458174025,7.03,SOV,11051200.0,7.32,
ICICI Prudential Corporate Bond Fund,ICICI,IN1920240257,State Government of Karnataka,5807.69,0.17541070762,6.85,SOV,5657700.0,7.13,
ICICI Prudential Corporate Bond Fund,ICICI,IN3420240241,State Government of West Bengal,2063.4,0.062321242019999994,7.16,SOV,2021800.0,7.29,
ICICI Prudential Corporate Bond Fund,ICICI,IN2920150355,State Government of Rajasthan,1448.9,0.043761387789999995,5.99,SOV,1425000.0,8.39,
ICICI Prudential Corporate Bond Fund,ICICI,IN1220150024,State Government of Assam,507.54,0.01532932207,5.78,SOV,500000.0,8.43,
ICICI Prudential Corporate Bond Fund,ICICI,IN2220150139,State Government of Maharashtra,504.75,0.015245055200000001,5.66,SOV,500000.0,8.15,
