Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,Maturity Date
Kotak Corporate Bond Fund,KOTAK,INE261F08EK5,NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT,62053.96,3.4800000000000004,6.66,CRISIL AAA,61000.0,
Kotak Corporate Bond Fund,KOTAK,INE296A07SV1,BAJAJ FINANCE LTD.**,44540.04,2.5,7.42,CRISIL AAA,43500.0,
Kotak Corporate Bond Fund,KOTAK,INE556F08KW0,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA**,35711.24,2.01,6.75,CRISIL AAA,35000.0,
Kotak Corporate Bond Fund,KOTAK,INE134E08ND3,Power Finance Corporation Ltd.**,35637.56,2.0,6.9,CRISIL AAA,35000.0,
Kotak Corporate Bond Fund,KOTAK,INE134E08NL6,Power Finance Corporation Ltd.**,33067.090000000004,1.86,6.68,CRISIL AAA,32500.0,
Kotak Corporate Bond Fund,KOTAK,INE936D07174,JAMNAGAR UTILITIES & POWER PRIVATE LIMITED ( Mukesh Ambani Group ) **,31939.07,1.79,6.55,CRISIL AAA,3200.0,
Kotak Corporate Bond Fund,KOTAK,INE261F08EO7,NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT**,31667.24,1.78,6.7,CRISIL AAA,31000.0,
Kotak Corporate Bond Fund,KOTAK,INE115A07QK0,LIC HOUSING FINANCE LTD.**,31182.13,1.7500000000000002,7.28,CRISIL AAA,3050.0,
Kotak Corporate Bond Fund,KOTAK,INE774D07VF8,Mahindra & Mahindra Financial Services Ltd.**,30878.04,1.73,7.27,CRISIL AAA,30000.0,
Kotak Corporate Bond Fund,KOTAK,INE557F08GE4,National Housing Bank**,29942.46,1.6800000000000002,6.83,CARE AAA,30000.0,
Kotak Corporate Bond Fund,KOTAK,INE018A08BF6,Larsen and Toubro Ltd.**,28422.87,1.6,6.65,CRISIL AAA,2700.0,
Kotak Corporate Bond Fund,KOTAK,INE261F08EF5,NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT,28293.31,1.59,6.57,ICRA AAA,27800.0,
Kotak Corporate Bond Fund,KOTAK,INE134E08MX3,Power Finance Corporation Ltd.**,27206.12,1.53,6.75,CRISIL AAA,26500.0,
Kotak Corporate Bond Fund,KOTAK,INE01XX07034,PIPELINE INFRASTRUCTURE LIMITED**,25732.33,1.4400000000000002,6.77,CRISIL AAA,24720.0,
Kotak Corporate Bond Fund,KOTAK,INE031A08996,HOUSING & URBAN DEVELOPMENT CORPORATION LTD.,24996.23,1.4000000000000001,6.64,ICRA AAA,25000.0,
Kotak Corporate Bond Fund,KOTAK,INE134E08NO0,Power Finance Corporation Ltd.**,23016.71,1.29,6.82,CRISIL AAA,22500.0,
Kotak Corporate Bond Fund,KOTAK,INE498L07129,L & T Finance Ltd.**,22759.94,1.28,7.13,ICRA AAA,22500.0,
Kotak Corporate Bond Fund,KOTAK,INE115A07MQ6,LIC HOUSING FINANCE LTD.**,21398.03,1.2,6.81,CRISIL AAA,2100.0,
Kotak Corporate Bond Fund,KOTAK,INE020B08FD6,REC LTD**,20654.38,1.1600000000000001,6.73,ICRA AAA,20100.0,
Kotak Corporate Bond Fund,KOTAK,INE936D07182,JAMNAGAR UTILITIES & POWER PRIVATE LIMITED ( Mukesh Ambani Group ) ,20555.46,1.15,6.85,CARE AAA,2000.0,
Kotak Corporate Bond Fund,KOTAK,INE556F08KU4,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA**,20427.52,1.15,6.66,CARE AAA,20000.0,
Kotak Corporate Bond Fund,KOTAK,INE261F08EM1,NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT,20395.58,1.15,6.67,ICRA AAA,20000.0,
Kotak Corporate Bond Fund,KOTAK,INE213W07285,SMFG INDIA HOME FINANCE COMPANY LTD**,20318.54,1.1400000000000001,7.26,CRISIL AAA,20000.0,
Kotak Corporate Bond Fund,KOTAK,INE041007191,EMBASSY OFFICE PARKS REIT**,20027.86,1.1199999999999999,7.52,CRISIL AAA,20000.0,
Kotak Corporate Bond Fund,KOTAK,INE0KUG08092,NATIONAL BANK FOR FINANCING INFRASTRUCTURE AND DEVELOPMENT**,19812.100000000002,1.11,6.9,CRISIL AAA,20000.0,
Kotak Corporate Bond Fund,KOTAK,INE941D07158,Sikka Ports & Terminals Ltd. ( Mukesh Ambani Group ) **,18782.11,1.05,6.59,CRISIL AAA,1850.0,
