Fund,Maturity_Bucket,Market_Value_Lacs,NAV_Percentage,Holdings_Count,Bucket_Order
ABSLF Corporate Bond Fund,0-1 Years,281918.26,9.849814218706864,38,0
ABSLF Corporate Bond Fund,1-3 Years,588474.5,20.573005706159815,63,1
ABSLF Corporate Bond Fund,3-5 Years,473616.52999999997,16.552572224560013,37,2
ABSLF Corporate Bond Fund,5-10 Years,1000879.21,34.98899077626704,65,3
ABSLF Corporate Bond Fund,10+ Years,443481.44,15.50804448674957,14,4
ABSLF Corporate Bond Fund,No Maturity Info,11352.18,0.396973208847907,7,5
HDFC Corporate Bond Fund,1-3 Years,1029.48,0.03,1,1
HDFC Corporate Bond Fund,3-5 Years,5487.47,0.15000000000000002,2,2
HDFC Corporate Bond Fund,5-10 Years,58179.15,1.63,5,3
HDFC Corporate Bond Fund,10+ Years,489283.94,13.61,14,4
HDFC Corporate Bond Fund,No Maturity Info,2932937.79,81.46,206,5
ICICI Corporate Bond Fund,No Maturity Info,3177005.46,95.95058008116,199,5
KOTAK Corporate Bond Fund,No Maturity Info,1713300.34,96.2,122,5
NIPPON Corporate Bond Fund,No Maturity Info,961587.3099999999,95.96000000000001,139,5
SBI Corporate Bond Fund,No Maturity Info,2402571.5,95.13,101,5
