Fund,Rating,Market_Value_Lacs,NAV_Percentage,Holdings_Count
ABSLF Corporate Bond Fund,AAA,2092521.05,73.15778621647473,179
ABSLF Corporate Bond Fund,SOVEREIGN,699358.92,24.437383137830505,44
HDFC Corporate Bond Fund,AAA,2734540.27,75.95,188
HDFC Corporate Bond Fund,SOVEREIGN,742503.76,20.66,39
ICICI Corporate Bond Fund,A1+,149715.73,4.52189117221,17
ICICI Corporate Bond Fund,AA+,16171.23,0.48842257378,1
ICICI Corporate Bond Fund,AAA,2497262.74,75.42131117225,164
ICICI Corporate Bond Fund,SOVEREIGN,505769.92,15.27473708032,16
KOTAK Corporate Bond Fund,A1+,2367.24,0.13,1
KOTAK Corporate Bond Fund,AAA,1365952.11,76.7,108
KOTAK Corporate Bond Fund,SOVEREIGN,340251.20999999996,19.1,12
NIPPON Corporate Bond Fund,A1+,17090.239999999998,1.71,2
NIPPON Corporate Bond Fund,AAA,739435.9299999999,73.78,116
NIPPON Corporate Bond Fund,SOVEREIGN,202537.51,20.22,20
SBI Corporate Bond Fund,AAA,1905882.52,75.46,88
SBI Corporate Bond Fund,SOVEREIGN,489678.76,19.39,12
