Issuer,Market_Value_Lacs,NAV_Percentage,Holdings_Count
Government of India,2556866.4,102.9621202181505,118
LIC Housing Finance,901057.59,30.597310513326732,57
Power Finance Corporation,783914.95,31.83455275396658,69
Small Industries Development,776423.81,25.300356599644093,35
National Bank for,450025.14,14.506403366476391,22
State Bank of,383939.78,13.33833601698861,16
NABARD,358034.96,10.81138178552,11
National Bank For,289929.69,14.634772404983384,21
India Universal Trust,255365.3,10.30915347014875,11
Rural Electrification Corporation,238888.67,7.21519754818,19
CGL 2034,236007.26,9.34,1
Summit Digitel Infrastructure,230782.2,9.675311734678193,13
Bajaj Housing Finance,218780.11,7.952325292280417,14
HDB Financial Services,215328.00999999998,9.181288663886658,18
Bajaj Finance Ltd.,208427.87,6.90578642382,6
