Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,Maturity Date,Standardized Rating,Market_Value_Crores,Issuer_Clean,Instrument_Type,Yield_Bucket,Rating_Quality_Score,Maturity_Years,Fund_Clean
ABSLF Corporate Bond Fund,ABSLF,INE261F08EO7,7.48% National Bank For Agriculture and Rural Development (15/09/2028) **,131265.83,4.59021777609958,6.694999999999999,CRISIL AAA,128500.0,2028-09-15,AAA,1312.6582999999998,NABARD,Corporate Bond,6-7%,95,3.1266255989048597,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE556F08KG3,7.59% Small Industries Development Bank of India (10/02/2026) **,75005.87,2.6228705689252103,6.29,CRISIL AAA,74550.0,2026-02-10,AAA,750.0586999999999,SIDBI,Corporate Bond,6-7%,95,0.5311430527036276,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE556F08KF5,7.54% Small Industries Development Bank of India (12/01/2026) **,60287.7,2.10819269407269,6.3549,ICRA AAA,6000.0,2026-01-12,AAA,602.877,SIDBI,Corporate Bond,6-7%,95,0.4517453798767967,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE936D07190,7.43% Jamnagar Utilities & Power Private Limited (24/10/2034) **,59377.72,2.07637165256443,7.324999999999999,CRISIL AAA,59000.0,2034-10-24,AAA,593.7772,Jamnagar Utilities & Power Private Limited,Corporate Bond,7-8%,95,9.232032854209445,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE020B08FV8,6.81% REC Limited (30/04/2036) **,58969.98,2.06211351578535,7.04,ICRA AAA,60000.0,2036-04-30,AAA,589.6998,REC Limited,Corporate Bond,7-8%,95,10.74880219028063,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE377Y07458,7.80% Bajaj Housing Finance Limited (09/02/2034) **,56594.07,1.97903045498294,7.32,CRISIL AAA,55000.0,2034-02-09,AAA,565.9407,Bajaj Housing Finance Limited,Corporate Bond,7-8%,95,8.528405201916495,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE296A07SV1,7.82% Bajaj Finance Limited (31/01/2034) **,46075.91,1.6112222939967402,7.42,CRISIL AAA,45000.0,2034-01-31,AAA,460.75910000000005,Bajaj Finance,Corporate Bond,7-8%,95,8.503764544832306,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE306N07LO1,8.50% Tata Capital Limited (06/11/2029) **,38176.96,1.3350049798074,7.195,ICRA AAA,3650.0,2029-11-06,AAA,381.76959999999997,Tata Capital Limited,Corporate Bond,7-8%,95,4.268309377138946,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE498L07137,7.2092% L&T Finance Limited (29/06/2027) **,35030.49,1.22497644705011,7.147100000000001,ICRA AAA,35000.0,2027-06-29,AAA,350.3049,L&T Finance Limited,Corporate Bond,7-8%,95,1.9110198494182067,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE115A07QI4,7.71% LIC Housing Finance Limited (09/05/2033) **,33657.46,1.17696323152785,7.249999999999999,CRISIL AAA,3280.0,2033-05-09,AAA,336.5746,LIC Housing Finance,Corporate Bond,7-8%,95,7.772758384668036,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE134E08MX3,7.60% Power Finance Corporation Limited (13/04/2029) **,33366.0,1.16677111399947,6.75,ICRA AAA,32500.0,2029-04-13,AAA,333.66,PFC,Corporate Bond,6-7%,95,3.701574264202601,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE134E08NN2,7.40% Power Finance Corporation Limited (15/01/2035) **,33295.96,1.16432198182473,7.03,ICRA AAA,32500.0,2035-01-15,AAA,332.95959999999997,PFC,Corporate Bond,7-8%,95,9.45927446954141,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE115A07QS3,7.9265% LIC Housing Finance Limited (14/07/2027) **,33138.66,1.15882137870373,6.81,CRISIL AAA,32500.0,2027-07-14,AAA,331.38660000000004,LIC Housing Finance,Corporate Bond,6-7%,95,1.9520876112251881,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE115A07QL8,7.64% LIC Housing Finance Limited (26/07/2033) **,32735.58,1.14472635421492,7.249999999999999,CRISIL AAA,3200.0,2033-07-26,AAA,327.35580000000004,LIC Housing Finance,Corporate Bond,7-8%,95,7.98631074606434,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE020B08FU0,6.87% REC Limited (31/05/2030),32577.25,1.13918968070537,6.795,ICRA AAA,32500.0,2030-05-31,AAA,325.7725,REC Limited,Corporate Bond,6-7%,95,4.832306639288158,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE936D07182,7.90% Jamnagar Utilities & Power Private Limited (10/08/2028),28983.2,1.01350968007368,6.8500000000000005,CRISIL AAA,28200.0,2028-08-10,AAA,289.832,Jamnagar Utilities & Power Private Limited,Corporate Bond,6-7%,95,3.028062970568104,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE041007142,7.96% Embassy Office Parks REIT (27/09/2027) **,26095.25,0.912521260909372,6.959999999999999,CRISIL AAA,25500.0,2027-09-27,AAA,260.9525,Embassy Office Parks REIT,Corporate Bond,6-7%,95,2.1574264202600957,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE115A07QM6,7.77% LIC Housing Finance Limited (11/08/2028) **,25628.78,0.896209280052694,6.819999999999999,CRISIL AAA,2500.0,2028-08-11,AAA,256.2878,LIC Housing Finance,Corporate Bond,6-7%,95,3.030800821355236,ABSLF
ABSLF Corporate Bond Fund,ABSLF,INE115A07QN4,7.69% LIC Housing Finance Limited (06/02/2034) **,25585.83,0.894707367121691,7.3,CRISIL AAA,25000.0,2034-02-06,AAA,255.8583,LIC Housing Finance,Corporate Bond,7-8%,95,8.5201916495551,ABSLF
