AMC,Rating,Market_Value_Crores,Market_Value_Lacs,Percentage,Holdings_Count
ABSLF,AAA,20925.2105,2092521.05,74.7403120849722,179
ABSLF,SOVEREIGN,6993.5892,699358.92,24.979583330934286,44
HDFC,AAA,27345.4027,2734540.27,78.42284800843731,188
HDFC,SOVEREIGN,7425.0376,742503.76,21.293985009104734,39
ICICI,A1+,1497.1573,149715.73,4.712479468008216,17
ICICI,AA+,161.7123,16171.23,0.5090085680872578,1
ICICI,AAA,24972.6274,2497262.74,78.60429487584197,164
ICICI,SOVEREIGN,5057.6992,505769.92,15.919705721878108,16
KOTAK,A,47.297799999999995,4729.78,0.2760625145267875,1
KOTAK,A1+,23.672399999999996,2367.24,0.1381684194377735,1
KOTAK,AAA,13659.521100000002,1365952.11,79.72636659839803,108
KOTAK,SOVEREIGN,3402.5120999999995,340251.20999999996,19.8594024676374,12
NIPPON,A,40.0906,4009.06,4.178805154790154,1
NIPPON,A+,175.97240000000002,17597.24,18.342313964390527,7
NIPPON,A-,26.4696,2646.96,2.759033312677621,1
NIPPON,A1+,4.9751,497.51,0.5185747662942558,1
NIPPON,AA,314.2523,31425.23,32.75578642236987,16
NIPPON,AA-,106.2734,10627.34,11.0773056960254,7
NIPPON,AAA,148.8465,14884.65,15.514871852066884,7
NIPPON,SOVEREIGN,114.6234,11462.34,11.947659919771061,4
SBI,AAA,19058.8252,1905882.52,79.32677633111022,88
SBI,SOVEREIGN,4896.7876,489678.76,20.38144379886301,12
