AMC,ISIN,Instrument Name,Issuer_Clean,Market Value (Lacs),Market_Value_Crores,% to NAV,Yield,Standardized Rating,Maturity Date,Fund_Rank
ABSLF,IN0020240134,Government of India (18/11/2039),Government of India,272101.07,2721.0107000000003,9.51506655062674,6.809824000000001,SOVEREIGN,2039-11-18,1
ABSLF,IN0020240126,Government of India (07/10/2034),Government of India,208121.08,2081.2108,7.27775885374148,6.523375,SOVEREIGN,2034-10-07,2
ABSLF,INE261F08EO7,7.48% National Bank For Agriculture and Rural Development (15/09/2028) **,NABARD,131265.83,1312.6582999999998,4.59021777609958,6.694999999999999,AAA,2028-09-15,3
ABSLF,IN0020240019,Government of India (08/04/2034),Government of India,84590.94,845.9094,2.9580496591903103,6.559081999999999,SOVEREIGN,2034-04-08,4
ABSLF,INE556F08KG3,7.59% Small Industries Development Bank of India (10/02/2026) **,SIDBI,75005.87,750.0586999999999,2.6228705689252103,6.29,AAA,2026-02-10,5
ABSLF,INE556F08KF5,7.54% Small Industries Development Bank of India (12/01/2026) **,SIDBI,60287.7,602.877,2.10819269407269,6.3549,AAA,2026-01-12,6
ABSLF,INE936D07190,7.43% Jamnagar Utilities & Power Private Limited (24/10/2034) **,Jamnagar Utilities & Power Private Limited,59377.72,593.7772,2.07637165256443,7.324999999999999,AAA,2034-10-24,7
ABSLF,INE020B08FV8,6.81% REC Limited (30/04/2036) **,REC Limited,58969.98,589.6998,2.06211351578535,7.04,AAA,2036-04-30,8
ABSLF,INE377Y07458,7.80% Bajaj Housing Finance Limited (09/02/2034) **,Bajaj Housing Finance Limited,56594.07,565.9407,1.97903045498294,7.32,AAA,2034-02-09,9
ABSLF,IN0020240035,Government of India (22/04/2064),Government of India,51998.23,519.9823,1.81831944200031,7.239188,SOVEREIGN,2064-04-22,10
HDFC,IN0020240134,6.92% GOI MAT 181139,Government of India,239726.56,2397.2656,6.66,6.8098,SOVEREIGN,2039-11-18,1
HDFC,INE296A07TH8,Bajaj Finance Ltd.,Bajaj Finance,113265.45,1132.6544999999999,3.15,7.44,AAA,,2
HDFC,IN0020200120,Floating Rate GOI 2033,Government of India,92515.5,925.155,2.57,7.35,SOVEREIGN,,3
HDFC,INE062A08454,State Bank of India (Tier 2 - Basel III)^,SBI,80500.08,805.0008,2.24,7.255,AAA,,4
HDFC,IN0020250042,6.68% GOI MAT 070740,Government of India,77527.59,775.2759,2.16,6.7869,SOVEREIGN,2040-07-07,5
HDFC,INE040A08666,HDFC Bank Ltd.£^,HDFC Bank Ltd.£^,51795.4,517.9540000000001,1.44,7.17,AAA,,6
HDFC,INE556F08KU4,Small Industries Development Bank^,SIDBI,51068.8,510.68800000000005,1.42,6.665,AAA,,7
HDFC,INE115A07QJ2,LIC Housing Finance Ltd.^,LIC Housing Finance,51063.3,510.63300000000004,1.42,6.82,AAA,,8
HDFC,IN0020210137,Floating Rate GOI 2034,Government of India,48568.75,485.6875,1.35,6.7554,SOVEREIGN,,9
HDFC,INE020B08BH6,REC Limited.^,REC Limited.^,47408.45,474.0845,1.32,6.67,AAA,,10
ICICI,IN0020200120,Government Securities,Government of India,192762.57,1927.6257,5.82204263796,7.28,SOVEREIGN,,1
ICICI,IN0020240019,Government Securities,Government of India,123981.83,1239.8183,3.74464555329,6.52,SOVEREIGN,,2
ICICI,INE261F08DX0,NABARD **,NABARD,111323.72,1113.2372,3.36233037594,6.6,AAA,,3
ICICI,INE115A07RF8,LIC Housing Finance Ltd. **,LIC Housing Finance,110060.77,1100.6077,3.32418526951,7.36,AAA,,4
ICICI,INE261F08EM1,NABARD **,NABARD,97353.41,973.5341000000001,2.94038258553,6.73,AAA,,5
ICICI,INE01XX07034,Pipeline Infrastructure Pvt Ltd. **,Pipeline Infrastructure Pvt Ltd.,83390.51,833.9051,2.51865860068,7.01,AAA,,6
ICICI,IN0020240035,Government Securities,Government of India,60166.58,601.6658,1.81722205789,7.24,SOVEREIGN,,7
ICICI,INE029A08073,Bharat Petroleum Corporation Ltd. **,Bharat Petroleum Corporation Ltd.,59486.28,594.8628,1.7966748344,6.23,AAA,,8
ICICI,INE020B08EM0,Rural Electrification Corporation Ltd. **,REC,53049.94,530.4994,1.60227689753,6.52,AAA,,9
ICICI,INE16J715035,India Universal Trust AL1 **,India Universal Trust AL1,51491.98,514.9198,1.55522155091,7.96,AAA,,10
KOTAK,IN0020230085,Central Government - 2033(^),Government of India,154759.18,1547.5918,8.690000000000001,6.54,SOVEREIGN,,1
KOTAK,INE261F08EK5,NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT,NABARD,62053.96,620.5396,3.4800000000000004,6.66,AAA,,2
KOTAK,IN0020210137,Central Government - 2034(^),Government of India,50102.5,501.025,2.81,6.34,SOVEREIGN,,3
KOTAK,IN0020240019,Central Government - 2034(^),Government of India,46000.52,460.00519999999995,2.58,6.56,SOVEREIGN,,4
KOTAK,INE296A07SV1,BAJAJ FINANCE LTD.**,Bajaj Finance,44540.04,445.4004,2.5,7.42,AAA,,5
KOTAK,IN0020240118,Central Government - 2054(^),Government of India,40299.84,402.99839999999995,2.26,7.15,SOVEREIGN,,6
KOTAK,INE556F08KW0,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA**,SIDBI,35711.24,357.1124,2.01,6.75,AAA,,7
KOTAK,INE134E08ND3,Power Finance Corporation Ltd.**,PFC,35637.56,356.37559999999996,2.0,6.9,AAA,,8
KOTAK,INE134E08NL6,Power Finance Corporation Ltd.**,PFC,33067.090000000004,330.6709,1.86,6.68,AAA,,9
KOTAK,INE936D07174,JAMNAGAR UTILITIES & POWER PRIVATE LIMITED ( Mukesh Ambani Group ) **,JAMNAGAR UTILITIES & POWER,31939.07,319.3907,1.79,6.55,AAA,,10
NIPPON,IN0020240076,7.02% Government of India,Government of India,7796.27,77.9627,7.69,6.3023,SOVEREIGN,,1
NIPPON,INE154Z07011,8.44% Renew Solar Energy (Jharkhand Five) Private Ltd**,Renew Solar Energy,4826.22,48.2622,4.760000000000001,7.985,AA,,2
NIPPON,INE1D4P08019,Jubilant Bevco Limited**,Jubilant Bevco Limited**,4155.71,41.5571,4.1000000000000005,8.2177,AA,,3
NIPPON,INE432R07414,9.25% Truhome Finance Limited**,Truhome Finance Limited**,4091.18,40.9118,4.04,8.235000000000001,AA,,4
NIPPON,INE08BT07017,8.28% Mancherial Repallewada Road Private Limited**,Mancherial Repallewada Road Private Limited**,4065.29,40.6529,4.01,8.495,AAA,,5
NIPPON,INE757O07049,11.75% Prestige Projects Private Limited**,Prestige Projects Private Limited**,4009.06,40.0906,3.96,9.2051,A,,6
NIPPON,INE149K07013,11% Sandur Manganese And Iron Ores Ltd**,Sandur Manganese And Iron Ores Ltd**,3900.61,39.0061,3.85,11.2459,A+,,7
NIPPON,INE755L07015,10.81% Bamboo Hotel And Global Centre (Delhi) Private limited**,Bamboo Hotel And Global Centre,3832.06,38.3206,3.78,10.5904,A+,,8
NIPPON,INE657H08035,9.75% Delhi International Airport Limited**,Delhi International Airport Limited**,3598.73,35.9873,3.55,8.94,AA,,9
NIPPON,INE205A08020,9.5% Vedanta Limited**,Vedanta Limited**,3539.88,35.3988,3.49,8.8605,AA,,10
SBI,IN0020240126,6.79% CGL 2034,CGL 2034,236007.26,2360.0726,9.34,6.5233753,SOVEREIGN,,1
SBI,INE002A07809,Reliance Industries Ltd.,Reliance Industries,93349.96,933.4996000000001,3.7,6.96,AAA,,2
SBI,IN0020240118,7.09% CGL 2054,CGL 2054,83118.42,831.1842,3.29,7.1525086,SOVEREIGN,,3
SBI,INE062A08256,State Bank of India( Tier II Bond under Basel III ),SBI,82459.49,824.5949,3.26,6.2462,AAA,,4
SBI,INE261F08EJ7,National Bank for Agriculture and Rural Development,NABARD,79408.64,794.0864,3.14,6.77,AAA,,5
