AMC,Yield_Bucket,Market_Value_Crores,Market_Value_Lacs,Percentage,Holdings_Count
ABSLF,6-7%,16994.616599999998,1699461.66,60.701083434666,117
ABSLF,7-8%,10385.4169,1038541.69,37.09445600265501,80
ABSLF,8-9%,326.2056,32620.56,1.165135631389018,6
ABSLF,>9%,109.9849,10998.49,0.3928422010681546,2
ABSLF,Unknown,78.4215,7842.15,0.2801045840935099,1
ABSLF,≤6%,102.5757,10257.57,0.3663781461283021,18
HDFC,6-7%,22661.0869,2266108.69,64.9888755766866,157
HDFC,7-8%,11624.6752,1162467.52,33.33796712955522,67
HDFC,Unknown,98.738,9873.8,0.283166982457972,1
HDFC,≤6%,484.6782,48467.82,1.389990311300224,3
ICICI,6-7%,19394.0478,1939404.78,61.04505656090373,127
ICICI,7-8%,11634.2172,1163421.72,36.62007304198966,56
ICICI,8-9%,335.2036,33520.36,1.055092930183381,7
ICICI,>9%,102.6447,10264.47,0.3230863191528792,2
ICICI,Unknown,80.8584,8085.84,0.254511366184432,1
ICICI,≤6%,223.0829,22308.29,0.7021797815858962,6
KOTAK,6-7%,11758.9234,1175892.34,68.63317029400694,69
KOTAK,7-8%,5027.139099999999,502713.91,29.341843824066476,39
KOTAK,8-9%,271.92130000000003,27192.13,1.587119862475484,9
KOTAK,>9%,21.3563,2135.63,0.1246500657321996,2
KOTAK,Unknown,47.297799999999995,4729.78,0.2760625145267875,1
KOTAK,≤6%,6.3655,636.55,0.0371534391921033,2
NIPPON,6-7%,197.0182,19701.82,20.53600269757693,9
NIPPON,7-8%,104.7791,10477.91,10.921548771888496,3
NIPPON,8-9%,311.7759,31177.59,32.49766124875506,11
NIPPON,>9%,317.93010000000004,31793.01,33.139138370165306,21
NIPPON,Unknown,2.8979000000000004,289.79,0.3020598209571916,3
NIPPON,≤6%,24.9783,2497.83,2.6035890906570343,1
SBI,6-7%,14183.6726,1418367.26,59.03538188145493,58
SBI,7-8%,9322.5755,932257.55,38.80248933278365,40
SBI,≤6%,519.4669,51946.69,2.162128785761423,3
